Date,Open,High,Low,Close,Adj Close,Volume,SMA_30,EMA_30,%K,%R,RSI_14
2015-01-02,26.378078,26.49077,26.133251,26.168653,26.168653,28951268,,26.168653,,,
2015-01-05,26.091366,26.14472,25.582764,25.623152,25.623152,41196796,,26.133459387096774,,,
2015-01-06,25.679497,25.738087,24.983908,25.029282,25.029282,57998800,,26.06222213631634,,,
2015-01-07,25.280592,25.292759,24.914099,24.986401,24.986401,41301082,,25.992814321070124,,,
2015-01-08,24.831326,25.105074,24.482782,25.065184,25.065184,67071641,,25.932967203581732,,,
2015-01-09,25.1689,25.176876,24.671764,24.740576,24.740576,41427428,,25.856038738834528,,,
2015-01-12,24.679243,24.730902,24.311253,24.56007,24.56007,46535413,,25.772427852458108,,,
2015-01-13,24.873709,25.080141,24.552092,24.741074,24.741074,47409807,,25.705888894235006,,,
2015-01-14,24.664783,25.092607,24.582508,24.974932,24.974932,44714427,,25.658730384929523,,,
2015-01-15,25.209288,25.214773,24.819857,25.020805,25.020805,54316718,,25.61757390848246,,,
2015-01-16,24.932049,25.33993,24.931549,25.334444,25.334444,45965854,,25.599307462773915,,,
2015-01-20,25.480045,25.554838,25.231527,25.275606,25.275606,44640224,,25.578423497433665,,,
2015-01-21,25.293058,25.892912,25.240702,25.831081,25.831081,45374234,,25.594723981470207,,,
2015-01-22,26.002609,26.743076,25.913855,26.646341,26.646341,53538588,,25.662570240730197,96.02212003093979,-3.9778799690602065,56.016076185563286
2015-01-23,26.706179,27.034277,26.577032,26.92358,26.92358,45634948,,25.743925709070187,95.93477692447814,-4.065223075521858,58.887066831318954
2015-01-26,26.852776,26.876211,26.41099,26.687229,26.687229,30874534,,25.80478398590437,87.25505173659869,-12.744948263401318,63.50973862324899
2015-01-27,26.425947,26.462349,25.83856,25.8605,25.8605,38080263,,25.808378567458924,56.89435715586782,-43.10564284413218,59.96414806460924
2015-01-28,26.067432,26.077904,25.430182,25.430182,25.430182,33676205,,25.78397878891319,41.09141160709558,-58.90858839290441,54.86764121644905
2015-01-29,25.480045,25.484531,24.991386,25.463091,25.463091,83727244,,25.76327635091879,42.29995769409298,-57.70004230590702,54.40883728629591
2015-01-30,25.72238,26.919592,25.705425,26.652824,26.652824,112127002,,25.820666521827256,85.99156672875448,-14.00843327124552,67.77931663385229
2015-02-02,26.513706,26.577032,25.85651,26.351652,26.351652,56996054,,25.854923649451308,72.49902807405581,-27.500971925944185,66.29185446379108
2015-02-03,26.327717,26.596977,26.091366,26.389547,26.389547,40773638,,25.88941547851897,73.70347695888155,-26.29652304111845,65.39107413250711
2015-02-04,26.389547,26.560678,25.99214,26.066435,26.066435,33273101,,25.90083609280807,56.2936570298317,-43.70634297016829,60.02382569115533
2015-02-05,26.117794,26.35265,26.033026,26.306774,26.306774,36995292,,25.927025635207553,65.40194452159295,-34.598055478407055,61.40243791063288
2015-02-06,26.309767,26.786457,26.248434,26.477306,26.477306,35270570,,25.96252759422642,72.73613717031401,-27.263862829685998,60.397401554831184
2015-02-09,26.327717,26.52717,26.228989,26.319241,26.319241,25355423,,25.985541362340847,64.99881785176021,-35.00118214823979,59.3262818426528
2015-02-10,26.392538,26.81139,26.273865,26.773493,26.773493,34997823,,26.036376951867247,87.23456121741194,-12.765438782588054,58.5768850067693
2015-02-11,26.691717,26.848787,26.595881,26.725126,26.725126,27555446,,26.080812374327426,84.86698507164603,-15.133014928353974,50.83334867071446
