post_date,ticker_symbol,sentiment_index
2015-01-01,AMZN,-0.2857142857142857
2015-01-01,GOOG,0.0
2015-01-01,MSFT,0.0
2015-01-02,AMZN,0.03571428571428571
2015-01-02,GOOG,0.0
2015-01-02,MSFT,-0.09523809523809523
2015-01-03,AMZN,0.2857142857142857
2015-01-03,GOOG,0.0
2015-01-03,MSFT,-0.14285714285714285
2015-01-04,AMZN,0.2857142857142857
2015-01-04,GOOG,0.26666666666666666
2015-01-04,MSFT,0.0
2015-01-05,AMZN,0.019230769230769232
2015-01-05,GOOG,-0.0425531914893617
2015-01-05,MSFT,0.15789473684210525
2015-01-06,AMZN,0.19230769230769232
2015-01-06,GOOG,0.04285714285714286
2015-01-06,MSFT,0.3333333333333333
2015-01-07,AMZN,0.2
2015-01-07,GOOG,0.0
2015-01-07,MSFT,-0.09090909090909091
2015-01-08,AMZN,0.05263157894736842
2015-01-08,GOOG,-0.07342657342657342
2015-01-08,MSFT,0.3
2015-01-09,AMZN,-0.08163265306122448
2015-01-09,GOOG,-0.06930693069306931
2015-01-09,MSFT,0.25
2015-01-10,AMZN,-0.1111111111111111
2015-01-10,GOOG,-0.22727272727272727
2015-01-10,MSFT,0.0
2015-01-11,AMZN,0.2
2015-01-11,GOOG,-0.23076923076923078
2015-01-11,MSFT,0.0
2015-01-12,AMZN,0.09411764705882353
2015-01-12,GOOG,-0.125
2015-01-12,MSFT,0.5714285714285714
2015-01-13,AMZN,0.13194444444444445
2015-01-13,GOOG,0.046511627906976744
2015-01-13,MSFT,0.375
2015-01-14,AMZN,0.08421052631578947
2015-01-14,GOOG,0.12727272727272726
2015-01-14,MSFT,0.0
2015-01-15,AMZN,-0.1016949152542373
2015-01-15,GOOG,0.10655737704918032
2015-01-15,MSFT,-0.15384615384615385
2015-01-16,AMZN,-0.024390243902439025
2015-01-16,GOOG,-0.023255813953488372
2015-01-16,MSFT,0.11764705882352941
2015-01-17,AMZN,0.045454545454545456
2015-01-17,GOOG,0.2
2015-01-17,MSFT,0.0
2015-01-18,AMZN,0.0
2015-01-18,GOOG,0.25
2015-01-18,MSFT,0.0
2015-01-19,AMZN,0.047619047619047616
2015-01-19,GOOG,-0.08695652173913043
2015-01-19,MSFT,0.16666666666666666
2015-01-20,AMZN,0.06896551724137931
2015-01-20,GOOG,0.05333333333333334
2015-01-20,MSFT,0.0
2015-01-21,AMZN,0.044444444444444446
2015-01-21,GOOG,0.17777777777777778
2015-01-21,MSFT,0.010869565217391304
2015-01-22,AMZN,0.14953271028037382
2015-01-22,GOOG,0.14912280701754385
2015-01-22,MSFT,0.10526315789473684
2015-01-23,AMZN,0.07317073170731707
2015-01-23,GOOG,0.12307692307692308
2015-01-23,MSFT,0.3111111111111111
2015-01-24,AMZN,0.11538461538461539
2015-01-24,GOOG,0.0
2015-01-24,MSFT,0.2727272727272727
2015-01-25,AMZN,-0.4444444444444444
2015-01-25,GOOG,0.034482758620689655
2015-01-25,MSFT,0.0
2015-01-26,AMZN,0.06060606060606061
2015-01-26,GOOG,0.11235955056179775
2015-01-26,MSFT,0.017985611510791366
2015-01-27,AMZN,0.061224489795918366
2015-01-27,GOOG,0.10714285714285714
2015-01-27,MSFT,-0.21951219512195122
2015-01-28,AMZN,0.17391304347826086
2015-01-28,GOOG,-0.031578947368421054
2015-01-28,MSFT,-0.1652892561983471
2015-01-29,AMZN,0.1634446397188049
2015-01-29,GOOG,-0.02888086642599278
2015-01-29,MSFT,-0.015384615384615385
2015-01-30,AMZN,0.13382899628252787
2015-01-30,GOOG,0.15467625899280577
2015-01-30,MSFT,0.04054054054054054
2015-01-31,AMZN,0.0
2015-01-31,GOOG,0.1111111111111111
2015-01-31,MSFT,0.17647058823529413
2015-02-01,AMZN,0.08333333333333333
2015-02-01,GOOG,0.21428571428571427
2015-02-01,MSFT,0.0
2015-02-02,AMZN,0.14634146341463414
2015-02-02,GOOG,-0.08108108108108109
2015-02-02,MSFT,0.25925925925925924
2015-02-03,AMZN,0.11382113821138211
